"","idealpoint","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","domestic9"
"Hungary",1.310657,10,10,10,0,150,8,2,12,2,2,2,2,4619.52863282639,4536.88154012347,10210971,2,2,44,0.001847,0
"Indonesia",-0.9797062,6,6,7,1,142,1,1,6,1,2,1,2,780.092078954339,789.80591673657,211540428,4,4,297,0.0138317,3437
"India",-0.7164143,9,9,9,0,142,1,1,6,1,2,1,1,452.413584669676,448.820007945151,1053481072,4,4,1303,0.0669228,125
"Ireland",0.8854276,10,10,10,0,150,8,2,14,2,2,2,2,26236.3718975808,25588.4363563032,3805174,1,1,12,0.0005699,0
"Iran",-1.51338,3,3,4,1,142,1,0,1,0,1,0,0,1664.26126982562,1578.13214204492,65850062,3,4,513,0.0124114,312
"Italy",1.147789,10,10,10,0,150,7,2,14,2,2,3,2,20059.2112202286,19373.3016567429,56942108,2,1,251,0.0188588,0
"Jamaica",-0.322565,9,9,9,0,419,7,2,13,2,2,2,2,3448.44887358203,3487.33759120516,2589389,3,3,3,0.0001925,0
"Jordan",-0.9786899,-2,-2,2,4,142,4,1,4,1,1,0,0,1763.16947168709,1774.66709575968,4797000,3,2,104,0.001374,0
"Japan",0.7672951,10,10,10,0,142,7,2,14,1,2,1,2,37299.6441291293,37634.4199360717,126843000,1,1,237,0.054506,0
"Kazakhstan",0.4113916,-4,-4,1,5,142,5,0,3,1,2,1,0,1229.00095844501,1265.88754966748,14883626,3,3,64,0.0032195,3125
"Kenya",-0.505619,-2,-2,2,4,2,2,1,3,1,1,1,1,408.981868272125,402.880062426734,31065820,3,3,22,0.0014225,0
"Kyrgyzstan",0.1319363,-3,-3,1,4,142,6,0,4,2,2,2,0,279.620274992268,276.512200940381,4898400,2,3,9,0.0003689,0
"Cambodia",-0.6897881,2,2,3,1,142,4,1,9,1,2,1,1,299.562237635792,299.981695524652,12197905,3,2,140,0.0016673,0
"South Korea",0.6347856,8,8,8,0,142,5,1,10,1,2,1,2,11947.5772472444,11601.0781598698,47008111,2,2,683,0.0254056,0
"Kuwait",-0.5787404,-7,-7,0,7,142,5,1,4,1,0,0,0,19545.1934504188,19786.5928757423,1929470,2,1,15,0.0015998,0
"Laos",-1.189795,-7,-7,0,7,142,4,0,3,2,2,2,0,324.019694710462,309.061448615943,5342879,3,3,29,0.0004422,0
